distance,distance units,initial velocity, initial velocity units,final velocity,final velocity units,acceleration,acceleration units,time,time units
?,m,0,m/s,?,m/s,4,m/s/s,7,s
?,m,?,m/s,49.5,m/s,13.15,m/s/s,80.4,s
?,m,45,m/s,22.64,m/s,?,m/s/s,61.1,s
?,m,-78.07,m/s,75.38,m/s,105.6,m/s/s,?,s
25.56,m,?,m/s,?,m/s,78.8,m/s/s,74.68,s
5.9,m,?,m/s,79.89,m/s,?,m/s/s,94.62,s
9.35,m,?,m/s,28.24,m/s,24.34,m/s/s,?,s
91.42,m,9.17,m/s,?,m/s,?,m/s/s,1.21,s
60.94,m,28.85,m/s,?,m/s,53.09,m/s/s,?,s
71.86,m,36.32,m/s,105.92,m/s,?,m/s/s,?,s
?,km,61.58,km/s,5.01,ft/d,52.7,ft/s/s,87.75,yr
?,m,?,cm/s,76.35,km/s,95.43,km/s/s,17.91,mo
?,mm,91.15,mm/s,46.7,cm/s,?,hr/d/d,8.45,d
?,cm,36.64,ft/s,53.63,mm/s,45.05,m/min/s,?,hr
41.06,in,?,yd/s,?,ft/s,81.33,m/s/s,54.02,min
49.08,ft,?,m/min,6.56,yd/s,?,m/s/s,24.34,wk
3.94,yd,?,m/hr,65.31,m/min,g,ft/s/s,?,ms
76.05,mi,48.07,mi/hr,?,m/hr,?,km/s/s,2.63,d
43.29,dm,98.14,yd/min,?,mi/hr,G,hr/d/d,?,min
75.71,hm,98.26,m/ms,110.86,yd/min,?,m/min/s,?,ms
75.71,dam,98.26,ft/d,110.86,m/ms,74.68,m/s/s,1.08,s
